22:01:26 13/09, info: cam1: 15 fps, 15kb/s, 
22:01:26 13/09, info: cam1: 15 fps, 15kb/s, 
22:01:26 13/09, info: cam1: 15 fps, 15kb/s, 
22:01:26 13/09, info: cam1: 15 fps, 7kb/s, 
22:01:27 13/09, info: cam1: 15 fps, 7kb/s, 
22:01:27 13/09, info: cam1: 14 fps, 7kb/s, 
22:01:27 13/09, info: cam1: 14 fps, 7kb/s, 
22:01:27 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:28 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:28 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:28 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:28 13/09, info: cam1: 15 fps, 16kb/s, 
22:01:29 13/09, info: cam1: 15 fps, 16kb/s, 
22:01:29 13/09, info: cam1: 15 fps, 16kb/s, 
22:01:29 13/09, info: cam1: 15 fps, 16kb/s, 
22:01:29 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:30 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:30 13/09, info: cam1: 15 fps, 13kb/s, 
22:01:30 13/09, info: cam1: 14 fps, 13kb/s, 
22:01:30 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:31 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:31 13/09, info: cam1: 14 fps, 10kb/s, 
22:01:31 13/09, info: cam1: 15 fps, 10kb/s, 
22:01:31 13/09, info: cam1: 15 fps, 10kb/s, 
22:01:32 13/09, info: cam1: 15 fps, 16kb/s, 
22:01:32 13/09, info: cam1: 15 fps, 16kb/s, 
22:01:32 13/09, info: cam1: 15 fps, 16kb/s, 
22:01:32 13/09, info: cam1: 15 fps, 16kb/s, 
22:01:33 13/09, info: cam1: 15 fps, 9kb/s, 
22:01:33 13/09, info: cam1: 15 fps, 9kb/s, 
22:01:33 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:33 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:34 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:34 13/09, info: cam1: 14 fps, 12kb/s, 
22:01:34 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:34 13/09, info: cam1: 15 fps, 12kb/s, 
22:01:35 13/09, info: cam1: 15 fps, 9kb/s, 
22:01:35 13/09, info: cam1: 15 fps, 9kb/s, 
22:01:35 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:35 13/09, info: cam1: 14 fps, 9kb/s, 
22:01:36 13/09, info: cam1: 14 fps, 16kb/s, 
22:01:36 13/09, info: cam1: 14 fps, 16kb/s, 
22:01:36 13/09, info: cam1: 14 fps, 16kb/s, 
